cluster_id,label
0,Somitic mesoderm
1,Lateral plate mesoderm
2,Skeletal muscle progenitors
3,Proepicardium
4,Surface ectoderm
5,Cardiomyocytes
6,Endothelial cells
7,SHF progenitors
8,Hematopoietic cells
