cluster_id,label
0,Head mesenchyme
1,Lateral plate mesoderm
2,Posterior mesoderm
3,SHF / Cardiopharyngeal mesoderm
4,Cardiac progenitors
5,Endothelial cells
6,Cardiomyocytes
7,Cardiac mesenchyme
8,Early mesoderm progenitors
9,Visceral endoderm
10,Hematopoietic progenitors
11,Splanchnic mesoderm
