cluster_id,label
0,Lateral plate mesoderm
1,Somitic mesoderm
2,Proepicardium
3,Skeletal muscle progenitors
4,Surface ectoderm
5,Progenitor
6,Cardiomyocytes
7,Endothelial cells
8,Pharyngeal arch
9,SHF progenitors
10,Hematopoietic cells
