cluster_id,label
0,Lateral plate mesoderm
1,Somitic mesoderm
2,Skeletal muscle progenitors
3,Erythroid cells
4,Pharyngeal mesenchyme
5,Arterial endothelial cells
6,Cardiomyocytes
7,Endothelial cells
8,Mature cardiomyocytes
9,Epicardium
10,Primitive erythrocytes
11,Dermomyotome
12,Myeloid progenitors
